id,target_date,content_type,platform,title,owner,status,notes
1,2026-06-10,event_flyer,facebook,Founders Day Recap,Mariam,planned,Past due - needs a status update or repost decision
2,2026-06-15,video_testimonial,instagram,A Grade 5 Student's Big Dream,Mariam,posted,STEM lab feature
3,2026-06-20,social_post,facebook,Term 3 Enrollment Reminder,Mariam,posted,
4,2026-06-25,event_flyer,,Sports Day 2026,Mariam,needs_review,Missing platform - confirm before generating brief
5,2026-06-28,day_in_the_life,instagram,A Day in Grade 3,Mariam,planned,
6,2026-06-29,video_testimonial,tiktok,Why We Love Our School,Mariam,planned,
7,2026-07-20,social_post,instagram,Back-to-Term Countdown,Mariam,planned,
8,2026-07-25,day_in_the_life,facebook,A Day in the Life: Kitchen Staff,Mariam,planned,
9,2026-08-01,video_testimonial,instagram,Our Big Dreams - Grade 6,Mariam,planned,
10,2026-08-05,social_post,tiktok,Meet Our New Music Teacher,Mariam,planned,
